egid;eingang_koordinaten
451712;47.5600948912991, 7.564770510991479
451719;47.55973672360024, 7.566154255160286
451720;47.5597593873428, 7.566228701939713
451721;47.55976289866908, 7.566291038647381
451726;47.559563595996266, 7.565839730461886
451730;47.55958893094669, 7.566276605783957
451732;47.5589634876078, 7.565726323456002
451735;47.55893885387771, 7.565304376043703
451740;47.55913511284245, 7.5659014240173015
451741;47.55912893216812, 7.565795993180592
451745;47.557443050916426, 7.565926746054026
451746;47.55726909277328, 7.565721804721947
451752;47.563471431741625, 7.5637642115484525
451754;47.56333096058531, 7.563821471653389
451764;47.56092412057648, 7.564604345642433
451765;47.560783658461936, 7.5646277321212505
451766;47.56067916775363, 7.564645981449757
451768;47.56045212775378, 7.564681719827244
451773;47.56211581652525, 7.564285505509507
451775;47.56191232970797, 7.56435611455413
451776;47.5617918516042, 7.564387959977963
451781;47.55982461941916, 7.564763708383223
451782;47.559759379883594, 7.564771194404555
451784;47.55963112102859, 7.564787301004045
451785;47.55956733678536, 7.564796344951122
451791;47.55918428703523, 7.56484458851478
451794;47.55869845145273, 7.564914538029102
451798;47.55825294054324, 7.564970697243224
451800;47.55802936146605, 7.564999385722843
451803;47.56302489471602, 7.564965947403246
451804;47.562887890620765, 7.565026799686119
451810;47.56174655533842, 7.565356137815486
451812;47.56129951950905, 7.565475074827734
451821;47.56036104116009, 7.565625847714808
451827;47.56336540091124, 7.564453979923562
451828;47.56325443705009, 7.564503560845098
451829;47.563147803369084, 7.564549218616132
451830;47.56304322939208, 7.564594721604412
451832;47.562824191054304, 7.564691497101748
451836;47.56235975424648, 7.5648843722386
451842;47.56159028049496, 7.5651655605148465
451849;47.560894355510236, 7.56529853833333
451851;47.560775183301324, 7.5653201530789245
451854;47.56046693245551, 7.565378323876626
451857;47.55991650751809, 7.565444928174942
451860;47.559488796445244, 7.565499864218937
451866;47.558184704223194, 7.5658491254021945
451867;47.55810473093837, 7.565751080993449
451869;47.55798174513203, 7.565624063484894
